Text,Sentiment
"có bao nhiêu phương thức xét tuyển",1
"hình thức xét tuyển",1
"để vào được ngành này thì phải thi hay xét học bạ",1
"có bao nhiêu hình thức xét tuyển",1
"phương thức xét tuyển",1
"thi đầu vào như thế nào",1
"đăng ký thi như thế nào",1
"làm sao để được học ngành này",1
"làm sao để được học ngành khoa học máy tính",1
"ngành khoa học máy tính xét tuyển ra sao",1
"ngành này tuyển sinh ra sao",1
"ngành này tuyển sinh như thế nào",1
"phải thi hay xét học bạ",1
"điều kiện xét tuyển",1
"điều kiện xét tuyển là gì",1
"điều kiện xét tuyển thì như thế nào",1
"điều kiện xét tuyển ra sao",1
"đăng ký thi như thế nào",1
"làm sao để được học ngành này",1
"ngành này xét tuyển như thế nào",1
"phương thức 1 là gì",1
"phương thức 1 ra sao",1
"phương thức 1 như thế nào",1
"làm sao để được ưu tiên tuyển thẳng",1
"ưu tiên xét tuyển là sao",1
"ưu tiên xét tuyển cần điều kiện gì",1
"những đối tượng được ưu tiên xét tuyển",1
"những người nào được ưu tiên xét tuyển",1
"những ai được ưu tiên xét tuyển",1
"đối tượng nào được ưu tiên xét tuyển",1
"phải làm gì mới được ưu tiên xét tuyển",1
"điều kiện để được ưu tiên xét tuyển",1
"phương thức 2 là gì",1
"phương thức 2 như thế nào",1
"phương thức 2 ra sao",1
"xét điểm kỳ thi tốt nghiệp như thế nào",1
"xét điểm thi tốt nghiệp rồi có cần thi đại học nữa không",1
"xét điểm thi tốt nghiệp là sao",1
"xét điểm thi tốt nghiệp trung học phổ thông là sao",1
"điều kiện để xét điểm tốt nghiệp",1
"điều kiện để được xét điểm tốt nghiệp",1
"Mình xét điểm 12 được không",1
"Nếu năm nay xét học bạ có thể là bao nhiêu điểm",1
"có xét tuyển học bạ không",1
"xét học bạ cần điều khiên gì",1
"điều kiện học bạ như thế nào thì trúng tuyển",1
"phương thức 3 là gì",1
"phương thức 3 như thế nào",1
"phương thức 3 ra sao",1
"xét điểm học bạ trung học phổ thông là sao",1
"xét điểm học bạ là như thế nào",1
"xét điểm học bạ là xét mấy năm",1
"điều kiện để được xét học bạ",1
"phương thức 6 cần điều kiện gì",1
"phương thức 6 là như thế nào",1
"phương thức 6 là gì",1
"xét thẳng mà bồi dưỡng kiến thức là sao",1
"bồi dưỡng kiến thức là gì",1
"xét thẳng và học bồi dưỡng kiến thức cần điều kiện gì",1
"đối tượng nào mới được xét tuyển theo phương thức 6",1
"những ai được xét tuyển thẳng và học bồi dưỡng",1
"học bồi dưỡng kiến thức là học cái gì",1
"học bồi dưỡng kiến thức là học như thế nào",1
"học bồi dưỡng kiến thức là học ra sao",1
"ai mới được xét tuyển thẳng",1
"xét tuyển thẳng cần điều kiện gì",1
"làm sao để được xét tuyển thẳng",1
"tuyển thẳng là sao",1
"làm sao để được tuyển thẳng",1
"làm thế nào để được tuyển thẳng",1
"làm sao để được tuyển thẳng",1
"làm gì để không phải thi mà được tuyển thẳng",1
"tuyển thẳng bằng cách nào",1
"tuyển thẳng như thế nào",1
